,spkts,dloss,ct_srv_src,ct_state_ttl,ct_dst_src_ltm,ct_src_ltm,label
0,2,0,2,2,2,1,0
1,2,0,2,2,2,1,0
2,2,0,3,2,3,1,0
3,2,0,3,2,3,2,0
4,2,0,3,2,3,2,0
5,2,0,2,2,2,2,0
6,2,0,2,2,2,2,0
7,2,0,3,2,3,1,0
8,1,0,2,2,2,2,0
9,1,0,2,2,2,2,0
10,1,0,2,2,2,2,0
11,1,0,2,2,2,2,0
12,2,0,3,2,3,1,0
13,2,0,3,2,3,1,0
14,2,0,1,2,1,1,0
15,2,0,3,2,3,2,0
16,2,0,2,2,2,1,0
17,2,0,2,2,2,1,0
18,2,0,3,2,2,1,0
19,2,0,3,2,2,2,0
20,2,0,2,2,2,1,0
21,2,0,2,2,2,1,0
22,2,0,3,2,3,1,0
23,2,0,3,2,3,2,0
24,2,0,3,2,3,2,0
25,2,0,2,2,2,2,0
26,2,0,2,2,2,2,0
27,2,0,2,2,1,2,0
28,2,0,3,2,1,2,0
29,10,1,2,1,1,1,0
30,2,0,2,2,2,2,0
31,10,1,2,1,1,1,0
32,14,1,1,1,1,2,0
33,2,0,2,2,2,1,0
34,10,1,4,1,3,2,0
35,10,2,2,1,2,1,0
36,10,1,3,1,2,2,0
37,2,0,2,2,2,2,0
38,2,0,2,2,2,2,0
39,2,0,2,2,2,2,0
40,10,2,2,1,2,1,0
41,2,0,2,2,2,2,0
42,10,1,3,1,2,1,0
43,10,1,5,1,3,1,0
44,10,1,2,1,2,1,0
45,10,2,1,1,1,3,0
46,10,1,5,1,3,1,0
47,10,1,2,1,2,1,0
48,10,1,5,1,3,2,0
49,10,2,2,1,2,1,0
50,10,1,2,1,2,1,0
51,10,1,17,1,3,1,0
52,22,0,17,6,14,3,0
53,22,0,17,6,14,3,0
54,22,0,17,6,14,3,0
55,10,1,2,1,2,2,0
56,10,1,17,1,3,10,0
57,20,0,17,6,14,10,0
58,20,0,17,6,14,10,0
59,20,0,17,6,14,10,0
60,20,0,17,6,14,10,0
61,20,0,17,6,14,10,0
62,20,0,17,6,14,10,0
63,20,0,17,6,14,10,0
64,20,0,17,6,14,10,0
65,20,0,17,6,14,10,0
66,10,1,17,1,3,3,0
67,18,0,17,6,14,3,0
68,18,0,17,6,14,3,0
69,18,0,18,6,17,4,0
70,18,0,18,6,17,4,0
71,18,0,18,6,17,4,0
72,12,2,1,1,1,2,0
73,18,0,18,6,17,4,0
74,16,0,18,6,17,3,0
75,16,0,18,6,17,3,0
76,16,0,18,6,17,3,0
77,10,1,3,1,2,1,0
78,14,0,18,6,17,10,0
79,14,0,18,6,17,10,0
80,14,0,18,6,17,10,0
81,14,0,18,6,17,10,0
82,14,0,18,6,17,10,0
83,10,1,18,1,1,10,0
84,10,1,3,1,2,2,0
85,14,0,18,6,17,10,0
86,14,0,18,6,17,10,0
87,14,0,18,6,17,10,0
88,14,0,18,6,17,10,0
89,12,2,1,1,1,1,0
90,12,0,8,6,7,5,0
91,12,0,8,6,7,5,0
92,12,0,18,6,17,1,0
93,12,0,8,6,7,5,0
94,12,0,8,6,7,5,0
95,12,0,8,6,7,5,0
96,10,1,5,1,3,2,0
97,10,1,5,1,3,1,0
98,10,0,11,6,11,3,0
99,10,2,2,1,2,1,0
100,10,0,11,6,11,3,0
101,10,1,8,1,1,3,0
102,10,1,5,1,3,1,0
103,10,0,8,6,7,3,0
104,10,0,8,6,7,3,0
105,8,0,11,6,11,2,0
106,8,0,11,6,11,2,0
107,10,1,3,1,2,1,0
108,8,0,11,6,11,2,0
109,8,0,11,6,11,2,0
110,10,1,3,1,2,2,0
111,6,0,11,6,11,5,0
112,10,1,12,1,3,2,0
113,6,0,12,6,9,2,0
114,6,0,11,6,11,5,0
115,6,0,11,6,11,5,0
116,10,2,2,1,2,2,0
117,6,0,11,6,11,5,0
118,6,0,11,6,11,5,0
119,4,0,12,6,9,9,0
120,4,0,12,6,9,9,0
121,4,0,12,6,9,9,0
122,10,1,4,1,3,1,0
123,4,0,12,6,9,9,0
124,4,0,12,6,9,9,0
125,4,0,12,6,9,9,0
126,4,0,12,6,9,9,0
127,10,1,12,1,3,9,0
128,4,0,12,6,9,9,0
129,10,1,4,1,3,1,0
130,12,2,1,1,1,1,0
131,10,1,12,1,3,1,0
132,10,1,4,1,3,2,0
133,10,1,5,1,2,2,0
134,10,1,1,1,1,1,0
135,10,2,4,1,4,1,0
136,10,2,4,1,4,3,0
